U+3693	㚓	damu
U+3694	㚔	dagan
U+3695	㚕	dafu
U+3696	㚖	baida
U+3697	㚗	daqie
U+3698	㚘	fufu
U+3699	㚙	jiada
U+369A	㚚	daming
U+369B	㚛	dazhi
U+369C	㚜	dahuo
U+369D	㚝	dajia
U+369E	㚞	dalin
U+369F	㚟	daoda
U+36A0	㚠	dagao
U+36A1	㚡	qiqi
U+36A2	㚢	rennv
U+36A3	㚣	nvnv
U+36A4	㚤	nvyi
U+36A5	㚥	nvyu
U+36A6	㚦	nvqi
U+36A7	㚧	nvguang
U+36A8	㚨	nvxun
U+36A9	㚩	nvran
U+36AA	㚪	nvmao
U+36AB	㚫	nvji
U+36AC	㚬	nvyun
U+36AD	㚭	nvyou
U+36AE	㚮	nvrong
U+36AF	㚯	nvfeng
U+36B0	㚰	nvpi
U+36B1	㚱	nvqiu
U+36B2	㚲	nvzhan
U+36B3	㚳	nvjia
U+36B4	㚴	nvbu
U+36B5	㚵	nvdong
U+36B6	㚶	nvsi
U+36B7	㚷	nvxiao
U+36B8	㚸	nvsi
U+36B9	㚹	nvmao
U+36BA	㚺	nvyun
U+36BB	㚻	tiannv
U+36BC	㚼	nvtian
U+36BD	㚽	qiaonv
U+36BE	㚾	nvxiong
U+36BF	㚿	nvbao
U+36C0	㛀	nvchu
U+36C1	㛁	nvping
U+36C2	㛂	nvba
U+36C3	㛃	fengnv
U+36C4	㛄	nvyi
U+36C5	㛅	nver
U+36C6	㛆	nvduo
U+36C7	㛇	nvzhuang
U+36C8	㛈	nvkao
U+36C9	㛉	nvxi
U+36CA	㛊	nvduo
U+36CB	㛋	nvxin
U+36CC	㛌	nvmou
U+36CD	㛍	nvjia
U+36CE	㛎	nvlv
U+36CF	㛏	nvqiu
U+36D0	㛐	nvgeng
U+36D1	㛑	dainv
U+36D2	㛒	nvdou
U+36D3	㛓	nvxi
U+36D4	㛔	nvfeng
U+36D5	㛕	nvyi
U+36D6	㛖	nvjun
U+36D7	㛗	nvzuo
U+36D8	㛘	nvbo
U+36D9	㛙	nvxin
U+36DA	㛚	nvyong
U+36DB	㛛	nvshen
U+36DC	㛜	younv
U+36DD	㛝	nvbei
U+36DE	㛞	nvnong
U+36DF	㛟	nvhuan
U+36E0	㛠	nvjian
U+36E1	㛡	nvwan
U+36E2	㛢	nvxiu
U+36E3	㛣	nvyuan
U+36E4	㛤	nvli
U+36E5	㛥	nvda
U+36E6	㛦	nvlin
U+36E7	㛧	nvyan
U+36E8	㛨	nvqiang
U+36E9	㛩	nvyu
U+36EA	㛪	nvyan
U+36EB	㛫	nvyi
U+36EC	㛬	nvlu
U+36ED	㛭	nvxi
U+36EE	㛮	nvyou
U+36EF	㛯	nvmian
U+36F0	㛰	nvri
U+36F1	㛱	nvwei
U+36F2	㛲	nvye
U+36F3	㛳	dinv
U+36F4	㛴	nvnao
U+36F5	㛵	nvran
U+36F6	㛶	nvtan
U+36F7	㛷	henv
U+36F8	㛸	nvzhu
U+36F9	㛹	nvbian
U+36FA	㛺	nvyin
U+36FB	㛻	nvkui
U+36FC	㛼	nvcha
U+36FD	㛽	nvmi
U+36FE	㛾	nvxian
U+36FF	㛿	nvdai
U+3700	㜀	nvxiang
U+3701	㜁	nvcha
U+3702	㜂	fengnv
U+3703	㜃	nvxin
U+3704	㜄	nvfeng
U+3705	㜅	nvxu
U+3706	㜆	nvmi
U+3707	㜇	nvxin
U+3708	㜈	wunv
U+3709	㜉	nvyong
