U+30248	𰉈	lugu
U+30249	𰉉	kouxian
U+3024A	𰉊	koutan
U+3024B	𰉋	kouwu
U+3024C	𰉌	longxia
U+3024D	𰉍	koujin
U+3024E	𰉎	koupan
U+3024F	𰉏	kouzhan
U+30250	𰉐	sisan
U+30251	𰉑	kougan
U+30252	𰉒	jiahui
U+30253	𰉓	kougan
U+30254	𰉔	kouxiang
U+30255	𰉕	tuyi
U+30256	𰉖	tukuang
U+30257	𰉗	batu
U+30258	𰉘	tuwei
U+30259	𰉙	tugang
U+3025A	𰉚	tujian
U+3025B	𰉛	yaotu
U+3025C	𰉜	tujin
U+3025D	𰉝	tumao
U+3025E	𰉞	tuyin
U+3025F	𰉟	tubei
U+30260	𰉠	tuyou
U+30261	𰉡	tudong
U+30262	𰉢	litu
U+30263	𰉣	tuze
U+30264	𰉤	pitu
U+30265	𰉥	tujia
U+30266	𰉦	tuyou
U+30267	𰉧	yantu
U+30268	𰉨	tuchuan
U+30269	𰉩	tuqiao
U+3026A	𰉪	tuhua
U+3026B	𰉫	tuyang
U+3026C	𰉬	tusu
U+3026D	𰉭	tuxun
U+3026E	𰉮	tushu
U+3026F	𰉯	chengtu
U+30270	𰉰	tuzhen
U+30271	𰉱	tuqian
U+30272	𰉲	tumian
U+30273	𰉳	tufu
U+30274	𰉴	tuqiong
U+30275	𰉵	tuwei
U+30276	𰉶	tukou
U+30277	𰉷	tutu
U+30278	𰉸	jitu
U+30279	𰉹	songtu
U+3027A	𰉺	tuju
U+3027B	𰉻	tushou
U+3027C	𰉼	pengtu
U+3027D	𰉽	tuxue
U+3027E	𰉾	tuye
U+3027F	𰉿	yuntu
U+30280	𰊀	shitu
U+30281	𰊁	tuchi
U+30282	𰊂	tudai
U+30283	𰊃	tumin
U+30284	𰊄	tusheng
U+30285	𰊅	tumian
U+30286	𰊆	tushui
U+30287	𰊇	shuitu
U+30288	𰊈	jiangtu
U+30289	𰊉	shuitu
U+3028A	𰊊	tuzi
U+3028B	𰊋	tuni
U+3028C	𰊌	tutu
U+3028D	𰊍	tuyuan
U+3028E	𰊎	zaiwu
U+3028F	𰊏	tumu
U+30290	𰊐	tuwen
U+30291	𰊑	tujian
U+30292	𰊒	tugong
U+30293	𰊓	tudian
U+30294	𰊔	tuxi
U+30295	𰊕	tutong
U+30296	𰊖	shuitu
U+30297	𰊗	shitu
U+30298	𰊘	tusun
U+30299	𰊙	ketu
U+3029A	𰊚	tufu
U+3029B	𰊛	tukui
U+3029C	𰊜	tuze
U+3029D	𰊝	tumu
U+3029E	𰊞	tujiong
U+3029F	𰊟	tuman
U+302A0	𰊠	tuchang
U+302A1	𰊡	tuyan
U+302A2	𰊢	jiantu
U+302A3	𰊣	dantu
U+302A4	𰊤	shutu
U+302A5	𰊥	tuwen
U+302A6	𰊦	tuxi
U+302A7	𰊧	tumu
U+302A8	𰊨	tuxian
U+302A9	𰊩	chentu
U+302AA	𰊪	koutu
U+302AB	𰊫	tubi
U+302AC	𰊬	tuyu
U+302AD	𰊭	jinjian
U+302AE	𰊮	tutian
U+302AF	𰊯	futu
U+302B0	𰊰	tudou
U+302B1	𰊱	tujiu
U+302B2	𰊲	youtu
U+302B3	𰊳	yaoyao
U+302B4	𰊴	leitu
U+302B5	𰊵	duili
U+302B6	𰊶	wantu
U+302B7	𰊷	tumian
U+302B8	𰊸	tuxia
U+302B9	𰊹	tushuo
U+302BA	𰊺	tuchang
U+302BB	𰊻	tumai
U+302BC	𰊼	tufu
U+302BD	𰊽	haotu
U+302BE	𰊾	tuhei
U+302BF	𰊿	yaotu
U+302C0	𰋀	tutian
U+302C1	𰋁	hengtu
U+302C2	𰋂	tuyou
U+302C3	𰋃	tuxie
U+302C4	𰋄	tuyi
U+302C5	𰋅	tubu
U+302C6	𰋆	tudang
U+302C7	𰋇	yaorong
U+302C8	𰋈	shibu
U+302C9	𰋉	shiheng
U+302CA	𰋊	baike
U+302CB	𰋋	jidong
U+302CC	𰋌	shengjing
U+302CD	𰋍	kesheng
U+302CE	𰋎	wenshi
U+302CF	𰋏	baowen
U+302D0	𰋐	duojiu
U+302D1	𰋑	duogong
U+302D2	𰋒	duoxia
U+302D3	𰋓	duozu
U+302D4	𰋔	duolu
U+302D5	𰋕	duozong
U+302D6	𰋖	louduo
U+302D7	𰋗	mengle
U+302D8	𰋘	miduo
U+302D9	𰋙	kuangda
U+302DA	𰋚	gongda
