U+2A876	𪡶	kouyuan
U+2A877	𪡷	kouchu
U+2A878	𪡸	koujie
U+2A879	𪡹	shengkou
U+2A87A	𪡺	koubei
U+2A87B	𪡻	caogu
U+2A87C	𪡼	kouda
U+2A87D	𪡽	kouju
U+2A87E	𪡾	kousheng
U+2A87F	𪡿	koujing
U+2A880	𪢀	kouwen
U+2A881	𪢁	koubo
U+2A882	𪢂	kouzhuo
U+2A883	𪢃	kouwen
U+2A884	𪢄	kouyi
U+2A885	𪢅	kouwo
U+2A886	𪢆	kouzhe
U+2A887	𪢇	kouzhi
U+2A888	𪢈	houlou
U+2A889	𪢉	koutong
U+2A88A	𪢊	kouzhong
U+2A88B	𪢋	koujia
U+2A88C	𪢌	koulan
U+2A88D	𪢍	koujie
U+2A88E	𪢎	kousheng
U+2A88F	𪢏	chunchi
U+2A890	𪢐	koulai
U+2A891	𪢑	kouhan
U+2A892	𪢒	koushu
U+2A893	𪢓	yongren
U+2A894	𪢔	kouzhi
U+2A895	𪢕	kouzhui
U+2A896	𪢖	kouwen
U+2A897	𪢗	koumi
U+2A898	𪢘	koula
U+2A899	𪢙	kouge
U+2A89A	𪢚	koucuo
U+2A89B	𪢛	yuanzheng
U+2A89C	𪢜	koupu
U+2A89D	𪢝	koude
U+2A89E	𪢞	xiangxiang
U+2A89F	𪢟	kouyang
U+2A8A0	𪢠	koujian
U+2A8A1	𪢡	gaoqiao
U+2A8A2	𪢢	xiyi
U+2A8A3	𪢣	ximing
U+2A8A4	𪢤	kouqiao
U+2A8A5	𪢥	koubian
U+2A8A6	𪢦	gewu
U+2A8A7	𪢧	kouting
U+2A8A8	𪢨	kouwen
U+2A8A9	𪢩	koupi
U+2A8AA	𪢪	kouyang
U+2A8AB	𪢫	kouche
U+2A8AC	𪢬	koukun
U+2A8AD	𪢭	koubing
U+2A8AE	𪢮	kouluan
U+2A8AF	𪢯	kouxian
U+2A8B0	𪢰	yuanwan
U+2A8B1	𪢱	tubu
U+2A8B2	𪢲	tuyou
U+2A8B3	𪢳	quyi
U+2A8B4	𪢴	tutu
U+2A8B5	𪢵	tufan
U+2A8B6	𪢶	wentu
U+2A8B7	𪢷	tuwang
U+2A8B8	𪢸	tuwu
U+2A8B9	𪢹	tumao
U+2A8BA	𪢺	tupu
U+2A8BB	𪢻	tuyue
U+2A8BC	𪢼	tuhua
U+2A8BD	𪢽	tufeng
U+2A8BE	𪢾	huotu
U+2A8BF	𪢿	tushui
U+2A8C0	𪣀	tuba
U+2A8C1	𪣁	tuyun
U+2A8C2	𪣂	tukong
U+2A8C3	𪣃	tubing
U+2A8C4	𪣄	tugan
U+2A8C5	𪣅	tushi
U+2A8C6	𪣆	tudong
U+2A8C7	𪣇	tufa
U+2A8C8	𪣈	tukou
U+2A8C9	𪣉	tuyong
U+2A8CA	𪣊	tubi
U+2A8CB	𪣋	tucun
U+2A8CC	𪣌	tuer
U+2A8CD	𪣍	tunai
U+2A8CE	𪣎	tuzhu
U+2A8CF	𪣏	tuzhou
U+2A8D0	𪣐	tuzhuang
U+2A8D1	𪣑	tunong
U+2A8D2	𪣒	tujun
