U+2BA7B	𫩻	likou
U+2BA7C	𫩼	zikou
U+2BA7D	𫩽	koukang
U+2BA7E	𫩾	kouban
U+2BA7F	𫩿	kouru
U+2BA80	𫪀	kouguo
U+2BA81	𫪁	koulai
U+2BA82	𫪂	kouyan
U+2BA83	𫪃	kouli
U+2BA84	𫪄	koujian
U+2BA85	𫪅	koushi
U+2BA86	𫪆	koupin
U+2BA87	𫪇	kouwang
U+2BA88	𫪈	kouxi
U+2BA89	𫪉	zhizhi
U+2BA8A	𫪊	shishi
U+2BA8B	𫪋	wokou
U+2BA8C	𫪌	kouchen
U+2BA8D	𫪍	kouqin
U+2BA8E	𫪎	koukuai
U+2BA8F	𫪏	kouwu
U+2BA90	𫪐	kouju
U+2BA91	𫪑	koubei
U+2BA92	𫪒	kouban
U+2BA93	𫪓	koumian
U+2BA94	𫪔	gusi
U+2BA95	𫪕	haoxian
U+2BA96	𫪖	koukua
U+2BA97	𫪗	kouwu
U+2BA98	𫪘	kouou
U+2BA99	𫪙	fengkou
U+2BA9A	𫪚	kouzhan
U+2BA9B	𫪛	kouchang
U+2BA9C	𫪜	koujin
U+2BA9D	𫪝	koufen
U+2BA9E	𫪞	koukou
U+2BA9F	𫪟	koucha
U+2BAA0	𫪠	koushi
U+2BAA1	𫪡	koucao
U+2BAA2	𫪢	kouan
U+2BAA3	𫪣	houshi
U+2BAA4	𫪤	kouquan
U+2BAA5	𫪥	kouchi
U+2BAA6	𫪦	kouzhi
U+2BAA7	𫪧	kouxiao
U+2BAA8	𫪨	xiongguang
U+2BAA9	𫪩	zhiyou
U+2BAAA	𫪪	kouzhi
U+2BAAB	𫪫	zhiyou
U+2BAAC	𫪬	kouling
U+2BAAD	𫪭	koudi
U+2BAAE	𫪮	erkou
U+2BAAF	𫪯	kouyue
U+2BAB0	𫪰	koumu
U+2BAB1	𫪱	koushua
U+2BAB2	𫪲	koubing
U+2BAB3	𫪳	kouyue
U+2BAB4	𫪴	koubeng
U+2BAB5	𫪵	kougong
U+2BAB6	𫪶	kouwa
U+2BAB7	𫪷	koumi
U+2BAB8	𫪸	wusi
U+2BAB9	𫪹	nonggu
U+2BABA	𫪺	koudai
U+2BABB	𫪻	kouchong
U+2BABC	𫪼	koupo
U+2BABD	𫪽	kouqin
U+2BABE	𫪾	kouqiang
U+2BABF	𫪿	koujian
U+2BAC0	𫫀	kouke
U+2BAC1	𫫁	koufei
U+2BAC2	𫫂	kouhai
U+2BAC3	𫫃	kouai
U+2BAC4	𫫄	kouxie
U+2BAC5	𫫅	koudou
U+2BAC6	𫫆	kouzhong
U+2BAC7	𫫇	koue
U+2BAC8	𫫈	buhe
U+2BAC9	𫫉	kouqian
U+2BACA	𫫊	kouzhi
U+2BACB	𫫋	koulin
U+2BACC	𫫌	pouzhao
U+2BACD	𫫍	koumu
U+2BACE	𫫎	huokou
U+2BACF	𫫏	koufan
U+2BAD0	𫫐	langkou
U+2BAD1	𫫑	lingzu
U+2BAD2	𫫒	koushu
U+2BAD3	𫫓	koudian
U+2BAD4	𫫔	kougua
U+2BAD5	𫫕	koushou
U+2BAD6	𫫖	koue
U+2BAD7	𫫗	koubei
U+2BAD8	𫫘	foufou
U+2BAD9	𫫙	kouqian
U+2BADA	𫫚	kouhan
U+2BADB	𫫛	kouyou
U+2BADC	𫫜	koucai
U+2BADD	𫫝	koubai
U+2BADE	𫫞	shenian
U+2BADF	𫫟	koutou
U+2BAE0	𫫠	kousu
U+2BAE1	𫫡	kouan
U+2BAE2	𫫢	koubei
U+2BAE3	𫫣	kouqian
U+2BAE4	𫫤	kouqi
U+2BAE5	𫫥	kouzong
U+2BAE6	𫫦	kouyan
U+2BAE7	𫫧	kouzhang
U+2BAE8	𫫨	kouban
U+2BAE9	𫫩	kouqiong
U+2BAEA	𫫪	shikou
U+2BAEB	𫫫	kouwen
U+2BAEC	𫫬	koukuan
U+2BAED	𫫭	koukai
U+2BAEE	𫫮	kouzhang
U+2BAEF	𫫯	koumao
U+2BAF0	𫫰	koushun
U+2BAF1	𫫱	kouchong
U+2BAF2	𫫲	koudun
U+2BAF3	𫫳	kouxiao
U+2BAF4	𫫴	koutong
U+2BAF5	𫫵	koulv
U+2BAF6	𫫶	kouliu
U+2BAF7	𫫷	kouzhan
U+2BAF8	𫫸	xuekou
U+2BAF9	𫫹	tunyan
U+2BAFA	𫫺	koupin
U+2BAFB	𫫻	kouxuan
U+2BAFC	𫫼	kouyan
U+2BAFD	𫫽	gusheng
U+2BAFE	𫫾	koupin
U+2BAFF	𫫿	kouling
U+2BB00	𫬀	kouduo
U+2BB01	𫬁	yukou
U+2BB02	𫬂	kouliu
U+2BB03	𫬃	kouhua
U+2BB04	𫬄	kouxiang
U+2BB05	𫬅	guangkou
U+2BB06	𫬆	koufan
U+2BB07	𫬇	koubo
U+2BB08	𫬈	kouchao
U+2BB09	𫬉	koukuai
U+2BB0A	𫬊	yuanju
U+2BB0B	𫬋	kouge
U+2BB0C	𫬌	koubi
U+2BB0D	𫬍	koupei
U+2BB0E	𫬎	sheli
U+2BB0F	𫬏	kouliao
U+2BB10	𫬐	kousai
U+2BB11	𫬑	zhaowei
U+2BB12	𫬒	kousa
U+2BB13	𫬓	koulao
U+2BB14	𫬔	jikou
U+2BB15	𫬕	daizhu
U+2BB16	𫬖	kouzhang
U+2BB17	𫬗	kouxia
U+2BB18	𫬘	kouba
U+2BB19	𫬙	yuangun
U+2BB1A	𫬚	mingwen
U+2BB1B	𫬛	kouzhun
U+2BB1C	𫬜	kouqin
U+2BB1D	𫬝	kousha
U+2BB1E	𫬞	kouxing
U+2BB1F	𫬟	koudian
U+2BB20	𫬠	koulan
U+2BB21	𫬡	yuanying
U+2BB22	𫬢	kuguo
U+2BB23	𫬣	kumiao
